source,class,confidence,frame
webcam,person,0.9141,234
webcam,person,0.5615,234
webcam,hair drier,0.4055,234
webcam,person,0.8929,235
webcam,person,0.5856,235
webcam,person,0.9311,236
webcam,person,0.855,236
webcam,cell phone,0.6865,236
webcam,person,0.9482,237
webcam,person,0.8885,237
webcam,cell phone,0.6137,237
webcam,person,0.9464,238
webcam,person,0.9148,238
webcam,cell phone,0.7744,238
webcam,person,0.9324,239
webcam,person,0.8486,239
webcam,hair drier,0.3638,239
webcam,person,0.9602,240
webcam,person,0.5868,240
webcam,person,0.8935,241
webcam,person,0.7702,241
webcam,cup,0.418,241
webcam,person,0.9461,242
webcam,person,0.8296,242
webcam,cup,0.4278,242
webcam,person,0.9362,243
webcam,person,0.5603,243
webcam,wine glass,0.2589,243
webcam,person,0.8902,244
webcam,person,0.5649,244
webcam,person,0.8973,245
webcam,person,0.6063,245
webcam,person,0.9507,246
webcam,cell phone,0.5827,246
webcam,person,0.9633,247
webcam,cell phone,0.5006,247
webcam,person,0.9599,248
webcam,cell phone,0.6188,248
webcam,person,0.9111,249
webcam,cell phone,0.8293,249
webcam,person,0.8926,250
webcam,cell phone,0.5814,250
webcam,person,0.4438,250
webcam,person,0.8478,251
webcam,person,0.6539,251
webcam,cell phone,0.5037,251
webcam,person,0.9197,252
webcam,cell phone,0.6615,252
webcam,person,0.9103,253
webcam,cell phone,0.6403,253
webcam,person,0.9512,254
webcam,cell phone,0.6497,254
webcam,person,0.9637,255
webcam,toothbrush,0.4703,255
webcam,person,0.9491,256
webcam,cell phone,0.9002,256
webcam,person,0.9438,257
webcam,cell phone,0.895,257
webcam,person,0.9598,258
webcam,cell phone,0.338,258
webcam,cup,0.25,258
webcam,person,0.952,259
webcam,cell phone,0.7467,259
webcam,person,0.9555,260
webcam,cell phone,0.8782,260
webcam,person,0.9557,261
webcam,cell phone,0.3149,261
webcam,cup,0.2669,261
webcam,person,0.9546,262
webcam,person,0.9523,263
webcam,person,0.9564,264
webcam,person,0.9591,265
webcam,person,0.9554,266
webcam,person,0.9584,267
webcam,person,0.9552,268
webcam,person,0.9516,269
webcam,person,0.9553,270
webcam,remote,0.2559,270
webcam,person,0.9539,271
webcam,person,0.9535,272
webcam,person,0.9594,273
webcam,person,0.9533,274
webcam,person,0.9527,275
webcam,person,0.955,276
webcam,person,0.9497,277
webcam,cell phone,0.3374,277
webcam,person,0.9503,278
webcam,cell phone,0.3747,278
webcam,person,0.9452,279
webcam,remote,0.6155,279
webcam,person,0.9417,280
webcam,remote,0.3179,280
webcam,person,0.9423,281
webcam,person,0.9431,282
webcam,remote,0.2685,282
webcam,person,0.9355,283
webcam,remote,0.5531,283
webcam,person,0.946,284
webcam,cell phone,0.6352,284
webcam,remote,0.3148,284
webcam,person,0.9501,285
webcam,cell phone,0.6505,285
webcam,person,0.9462,286
webcam,remote,0.501,286
webcam,person,0.9535,287
webcam,remote,0.6031,287
webcam,person,0.9576,288
webcam,remote,0.446,288
webcam,person,0.953,289
webcam,person,0.9552,290
webcam,person,0.9489,291
webcam,person,0.9506,292
webcam,remote,0.3171,292
webcam,cell phone,0.2655,292
webcam,person,0.9505,293
webcam,cell phone,0.47,293
webcam,person,0.9419,294
webcam,person,0.9344,295
webcam,cell phone,0.3532,295
webcam,person,0.9446,296
webcam,cell phone,0.3394,296
webcam,person,0.9396,297
webcam,person,0.9449,298
webcam,person,0.9477,299
webcam,person,0.9265,300
webcam,cell phone,0.3624,300
webcam,person,0.9469,301
webcam,cell phone,0.2574,301
webcam,person,0.9469,302
webcam,remote,0.6063,302
webcam,person,0.9087,303
webcam,person,0.9356,304
webcam,person,0.9279,305
webcam,cell phone,0.3305,305
webcam,person,0.9351,306
webcam,toothbrush,0.5978,306
webcam,cell phone,0.3459,306
webcam,person,0.264,306
webcam,person,0.924,307
webcam,cell phone,0.2609,307
webcam,person,0.9195,308
webcam,cell phone,0.2594,308
webcam,person,0.9358,309
webcam,cell phone,0.351,309
webcam,person,0.8969,310
webcam,cell phone,0.3383,310
webcam,person,0.8949,311
webcam,toothbrush,0.5443,311
webcam,person,0.932,312
webcam,remote,0.2779,312
webcam,person,0.906,313
webcam,person,0.9199,314
webcam,person,0.9402,315
webcam,cell phone,0.3918,315
webcam,person,0.3127,315
webcam,person,0.9427,316
webcam,cell phone,0.3401,316
webcam,person,0.9475,317
webcam,toothbrush,0.5783,317
webcam,person,0.9385,318
webcam,cell phone,0.4714,318
webcam,person,0.934,319
webcam,toothbrush,0.5633,319
webcam,cell phone,0.3159,319
webcam,person,0.9392,320
webcam,cell phone,0.4889,320
